G-word,E-word,WdNum,VAL_Mean,VAL_SD,ARO_Mean_(ANEW),ARO_SD_(ANEW),ARO_Mean_(BAWL),ARO_SD_(BAWL),DOM_Mean,DOM_SD,POT_Mean,POT_SD,IMA_MEAN,IMA_SD,freq_Leipzig,freq_SUBTLEX,#_letters,#_syllables,word_class,N_orth,HFN,NF_MAX,F_SUM
Glück,bliss,660,2.62,0.65,4.85,2.46,2.93,1.53,5.5,2.05,6.32,2.15,3.81,1.92,4129,277.73,5,1,S,0,0,0,0
Blase,blister,661,-0.7,1.26,4.45,1.76,2.21,1.27,5.13,1.5,4.2,1.22,4.45,1.53,97,7.95,5,2,S,2,1,6.33,6.33
blond,blond,662,0.53,0.92,4.6,1.98,2.58,1.03,5.63,1.14,4.38,1.93,5.29,2.1,132,7.05,5,1,A,1,1,28.5,28.5
Geheule,blubber,663,-1.25,1.18,6.4,1.43,3.38,0.85,5.5,2.08,5.28,2.11,3.85,1.9,5,0.98,7,3,S,0,0,0,0
Tafel,board,664,0.2,0.7,3.8,1.44,1.88,0.86,6.5,1.66,4.92,1.19,5,2.05,207,9.53,5,2,S,2,0,2.67,2.67
Körper,body,665,0.87,0.92,5,2.15,2.92,1.02,5.31,2.2,5.8,1.49,5.75,1.45,2835,135.16,6,2,S,0,0,0,0
Flasche,bottle,666,0.45,0.96,4.3,1.95,1.95,0.92,5.56,1.72,4.2,1.65,5.91,1.34,603,36.54,7,2,S,0,0,0,0
Strauß,bouquet,667,0.93,1.39,4.1,1.94,2.67,1.11,5.75,1.55,4.25,1.39,5.47,1.68,21,4.65,6,1,S,0,0,0,0
mutig,brave,668,2.2,0.63,6.1,1.59,3.32,1.16,6.06,1.52,7.79,1.27,4.11,1.27,347,16.3,5,2,A,0,0,0,0
Brise,breeze,669,0.94,0.93,3.05,1.5,2.62,1.06,5.63,1.37,4.03,1.69,3.8,1.79,76,3.27,5,2,S,2,1,62.67,63.67
Braut,bride,670,1,1.49,4.95,2.44,2.83,1.04,4.81,1.17,4.37,1.76,6.56,0.53,284,35.51,5,1,S,5,1,32,45
hell,bright,671,1.41,0.98,4.8,1.74,2.1,0.83,5.44,1.67,4.53,1.85,5.52,1.25,309,15.91,4,1,A,7,0,43.33,121.17
kaputt,broken,672,-1.33,1.11,5.53,1.58,3.19,1.1,4.69,1.18,5.24,1.61,4.95,1.23,485,63.15,6,2,A,0,0,0,0
Gewehrkugel,bullet,673,-1.29,1.38,6.5,1.91,3.69,1.01,4.88,2.58,6.43,1.32,6,1.34,3,0.08,11,4,S,0,0,0,0
Wichtigtuer,busybody,674,-1.52,1,5.85,1.6,3.68,0.69,5.69,1.58,5.8,2.1,3.9,1.89,57,1.14,11,4,A,0,0,0,0
Schrank,cabinet,675,0.27,1.24,2.85,1.31,1.77,1.02,5.81,1.5,5.52,1.48,6.14,1.32,303,22.64,7,1,S,2,0,17.83,18.5
Stock,cane,677,-0.07,0.47,4.2,1.77,2.31,0.97,5.44,1.66,5.44,1.45,5.75,1.48,1262,34.73,5,1,S,2,1,140.5,142.67
Kanone,cannon,678,-1.77,1.48,6,1.59,3.91,1.15,4.13,2.13,6.2,1.45,5.45,1.6,42,12.84,6,3,S,0,0,0,0
Aas,carcass,679,-2.1,1.1,5.9,1.55,2.63,1.42,4.56,1.4,5.52,1.96,5.44,0.88,8,1.14,3,1,S,6,5,4807,10568.83
Kasino,casino,680,0.5,1.08,5.15,2.11,2.47,1.31,5,1.32,4.63,1.64,5.56,1.51,36,4.37,6,3,S,0,0,0,0
Keller,cellar,681,0,0.82,5,1.97,2.72,1.07,4.56,1.42,5,1.58,6.33,0.71,1683,33.35,6,2,S,8,0,10.5,16.83
Champion,champ,682,1.16,1.28,6.25,1.62,4.1,1.12,5.69,1.53,7.7,1.23,4.43,1.72,315,9.13,8,2,S,0,0,0,0
Chance,chance,683,2.1,0.74,5.65,1.63,3.18,1.07,6.13,1.7,5.63,1.56,2.22,1.2,6588,205.64,6,2,S,0,0,0,0
Chaos,chaos,684,-0.05,1.61,6.5,1.54,4,0.84,5.13,1.79,6.75,1.55,4.05,1.91,1087,27.56,5,2,S,0,0,0,0
Kinn,chin,685,0.13,0.52,3.55,1.61,2.27,1.04,5.06,1.35,4.35,1.42,6.1,1.48,144,5.71,4,1,S,4,4,417.17,751.17
Weihnachten,christmas,686,1.19,1.38,5.45,2.26,2.33,1.29,5.56,1.32,5.8,1.84,6.04,1.43,1498,55.44,11,3,S,0,0,0,0
Kreis,circle,687,0.38,1.02,2.9,1.62,1.89,0.9,5.06,0.83,4.53,1.52,6.46,1.21,3969,20.71,5,1,S,3,0,264.33,277.33
Uhr,clock,688,0.09,1.14,4.7,1.89,1.79,0.92,4.88,1.43,4.63,1.46,6.73,0.72,37126,269.93,3,1,S,4,1,2269.83,2318.83
ungeschickt,clumsy,689,-1.14,1.17,5,1.41,2.65,0.94,4.06,1.9,4.93,1.51,3,1.41,91,3.74,11,3,A,0,0,0,0
grob,coarse,690,-1.4,1.35,5.7,2.18,3.38,0.85,5.31,1.34,5.73,1.68,3.1,1.71,288,9.41,4,1,A,3,2,1756.67,1802.67
Küste,coast,691,2,0.92,3.7,1.95,1.83,0.86,5.13,1.78,5.35,1.69,6.24,0.99,1047,14.17,5,2,S,4,0,22,47
Münze,coin,692,0.5,0.82,3.55,1.61,2.5,1.14,5.81,1.6,4.68,1.53,6.65,0.93,174,10.28,5,2,S,2,0,10.5,10.5
kalt,cold,693,-0.86,0.66,5.45,1.36,2.77,1.11,4.69,1.35,5.34,2.07,4.62,1.88,883,80.51,4,1,A,6,0,45,64.33
Farbe,color,694,1.6,1.05,3.75,1.89,2.21,1.27,5.19,0.68,5.36,1.04,4.14,2.05,1414,39.21,5,2,S,4,0,8.5,12.33
Säule,column,695,0.33,0.72,3.15,1.63,2,0.94,5.69,1.05,5.84,1.86,5.8,1.44,278,1.5,5,2,S,3,0,6.33,8.67
Komfort,comfort,696,2,0.47,3.65,1.53,1.82,0.81,6.13,1.5,4.65,1.59,4,1.58,274,1.77,7,2,S,0,0,0,0
Koch,cook,697,0.8,0.86,4.6,1.73,2.04,1,5.5,1.64,4.6,1.46,6.4,1.23,2287,19.73,4,1,S,6,5,3173.5,5256.83
Kabel,cord,698,-0.3,0.73,3.35,1.35,2.25,0.86,5.69,1.89,4.44,1.47,4.45,1.5,622,17.76,5,2,S,5,0,4.83,14.5
Korken,cork,699,0.13,0.64,4.6,1.9,2.15,1.05,5.75,1.74,4.2,1.52,6.35,1.18,48,1.93,6,2,S,0,0,0,0
Ecke,corner,700,-0.07,0.59,4.05,1.61,2.27,0.96,5.69,1.18,4.78,1.78,5.45,1.43,1811,48.11,4,2,S,0,0,0,0
korrupt,corrupt,702,-1.9,0.32,6.85,1.42,3.42,1.07,4.44,1.7,6.55,1.01,2.89,1.69,59,3.98,7,2,A,0,0,0,0
Feigling,coward,703,-1.8,0.79,6.1,1.74,3.35,1,5.44,2.12,3.24,1.98,3.22,1.79,30,20.63,8,2,S,0,0,0,0
Verbrechen,crime,704,-2.03,0.9,7.1,1.12,3.57,1.32,4.69,1.96,6.58,1.2,4.85,1.69,1725,47.68,10,3,S,2,2,20.83,33.5
kriminell,criminal,705,-1.81,0.94,6.85,1.5,3.49,1.07,5.13,1.63,6,1.09,3.9,1.37,97,2.8,9,3,A,0,0,0,0
Krise,crisis,706,-1.9,0.97,6.8,1.15,3.62,0.92,4.88,1.95,6.7,1.32,2.68,1.43,3452,16.54,5,2,S,2,0,1,2
rüde,crude,707,-1.16,0.9,5.35,1.46,3.28,0.65,4.56,1.1,5.25,1.37,2.92,1.66,81,1.26,4,2,A,5,4,172.5,221.33
Krücke,crutch,708,-1.95,0.9,5.3,1.66,3.45,1.14,4.88,1.82,5.15,1.35,5.55,1.14,33,1.77,6,2,S,1,0,0,0
Küche,cuisine,709,0.88,1.02,3.5,1.88,2.45,0.92,5.56,1.48,4.44,1.33,6.21,1.18,1406,49.45,5,2,S,0,0,0,0
Gardine,curtains,710,0.06,0.68,3.8,1.79,1.92,0.93,6.31,1.68,3.72,1.46,5.65,1.73,14,0.28,7,3,S,1,0,0.67,0.67
Schnitt,cut,711,0.14,0.88,5.4,1.85,3,0.73,4.75,1.27,5.53,1.58,4.24,1.67,1574,34.65,7,1,S,1,1,177.17,177.17
schaden,damage,712,-1.79,1.01,5.65,1.63,3.44,0.86,4.88,1.76,6.16,0.94,3.54,1.68,528,0,7,2,V,4,0,53.17,60.83
Gefahr,danger,713,-1.8,0.62,7.2,1.24,4.38,0.67,3.63,1.84,6.63,1.21,2.91,1.38,5155,78.19,6,2,S,1,0,2,2
dunkel,dark,714,-0.13,0.92,4.3,1.49,3.04,1.04,4,1.7,5.7,1.56,5.19,1.57,449,33.9,6,2,A,1,0,0.17,0.17
Dämmerung,dawn,715,0.71,0.99,4.3,1.98,2.31,1.05,3.75,1.2,5.08,1.79,5.35,1.57,118,5.75,9,3,S,0,0,0,0
Morgenröte,daylight,716,1.87,1.06,3.1,2.02,2.65,1.13,4.56,1.81,5.23,2.04,6.15,0.93,14,0.55,10,4,S,0,0,0,0
Blendung,dazzle,717,-1.45,0.69,5,1.38,3.55,0.69,4.63,1.05,5.27,1.85,3.35,1.79,634,0.16,8,1,S,1,0,0,0
schmücken,decorate,719,0.53,1.19,5.11,1.24,2.69,0.84,6.38,1.31,4.35,1.7,4.55,1.43,246,1.14,9,2,V,1,1,12.83,12.83
unförmig,deformed,720,-1.08,0.76,4.3,1.66,2.73,1.12,4.75,1.54,4.32,1.49,3.35,1.42,3,0.04,8,3,A,0,0,0,0
verspätet,delayed,721,-1.2,1.08,5.15,2.13,3,1.1,5.19,1.97,4.68,1.25,2,0.92,184,5.2,9,3,A,1,0,2.83,2.83
verwahrlost,derelict,722,-1.91,0.8,6.55,1.39,3.17,1.06,4.38,1.76,5.56,1.92,4.24,1.34,35,0.35,11,3,A,0,0,0,0
Zerstörung,destruction,723,-2.07,1.1,7,1.78,3.92,1.09,4.44,2.26,7.3,1.42,4.7,1.72,776,13.03,10,3,S,0,0,0,0
Detail,detail,724,0.2,0.63,4.35,1.5,2.31,0.7,5.75,1.32,4.15,1.79,3.11,1.62,797,9.53,6,2,S,0,0,0,0
Dreck,dirt,725,-1.5,0.53,5.4,1.76,3.53,0.96,5.38,1.75,5.7,1.68,6.22,0.67,332,35.75,5,1,S,2,1,100.67,101.67
Unbequemlichkeit,discomfort,726,-1.03,0.94,5.65,1.57,3.45,0.85,4.88,1.86,5.48,1.38,2.86,1.59,6,0.04,16,5,S,0,0,0,0
stören,disturb,727,-1.65,0.77,6.2,1.58,3.43,1.14,5.19,1.26,5.92,1.41,3.88,1.82,676,35.59,6,2,V,2,0,0.5,0.5
Puppe,doll,728,0.45,0.94,3.9,1.71,2,0.91,6.94,1.7,2.61,1.28,5.41,1.56,162,18.27,5,2,S,4,1,9,19.67
Dollar,dollar,729,0.6,1.3,4.5,2.12,2.38,0.98,5.38,1.39,5.35,1.9,6.15,0.99,13789,173.71,6,2,S,0,0,0,0
Taube,dove,730,0.75,1.16,3.45,1.9,1.89,1.05,5.94,1.53,3.68,1.42,5.82,1.3,88,7.13,5,2,S,3,0,7.83,13.17
düster,dreary,731,-1.2,1.52,4.9,1.59,3.31,1.01,3.81,1.11,6.12,1.36,4.5,1.32,256,3.66,6,2,A,4,0,0.83,1.5
Schaufensterpuppe,dummy,732,0.48,1.18,3.5,1.57,2.61,0.72,5.94,2.12,4.08,0.95,6.24,1.09,11,0.39,17,5,S,0,0,0,0
Müllkippe,dump,733,-1.36,1.28,5.25,1.89,2.88,1.21,5,1.12,5.18,1.66,5.5,1.4,52,1.02,9,3,S,0,0,0,0
einfach,easy,734,0.67,0.9,3.35,1.18,1.77,0.76,5.88,1.3,3.85,1.33,2.3,1.53,11574,1189.06,7,2,A,0,0,0,0
Ekstase,ecstasy,735,2,0.94,7.15,1.5,4.5,0.89,5.75,1.79,6.9,1.22,4.56,1.67,74,0.75,7,3,S,0,0,0,0
Ei,egg,736,0.38,1.02,3.15,1.35,2.08,0.84,6,1.72,4.05,1.54,6.6,1.14,330,24.06,2,1,S,4,2,7934,15505.17
Ellbogen,elbow,737,-0.19,0.98,4.2,1.77,2.46,0.9,5.44,1.15,4.88,1.45,6.45,1.15,92,4.06,8,4,S,0,0,0,0
Fahrstuhl,elevator,738,0.23,0.67,4.7,1.81,2.69,0.85,5.44,2.04,4.6,1.77,6.44,1.16,149,11.06,9,2,S,0,0,0,0
Ereignis,event,740,0.47,0.64,5.55,1.54,2.88,0.95,5.06,1.4,5,1.28,2.35,1.42,1023,9.76,8,3,S,0,0,0,0
böse,evil,741,-1.89,0.99,6.65,1.35,3.5,1.01,5.31,1.79,6.59,1.61,4.14,1.46,41,117.37,4,2,A,2,0,2.33,2.33
Stoff,fabric,742,0.6,0.87,3.9,1.8,2.72,0.84,5.88,1.43,4.9,1.73,5.3,1.17,285,26.18,5,3,S,0,0,0,0
Absturz,fall,743,-2,0.82,7,1.78,4.1,0.7,4,1.87,6.18,1.41,5.22,0.44,852,7.36,7,2,S,0,0,0,0
falsch,FALSE,744,-1.47,1.13,6.95,1.64,3.42,1.03,4.69,1.1,5.2,1.41,2.4,1.5,2749,167.41,6,1,A,0,0,0,0
berühmt,famous,745,1.21,1.63,5.35,1.63,3.12,0.99,5.63,1.37,5.45,1.32,3.25,1.45,520,18.7,7,2,A,0,0,0,0
Phantasie,fantasy,746,2.07,0.88,5,2.45,3.31,1.05,6.19,2.02,5.9,2.17,3.2,1.96,711,4.61,9,3,S,0,0,0,0
Schuld,fault,747,-1.7,0.48,6.35,1.9,3.57,0.75,4.31,1.54,6.96,1.21,2.78,0.97,1979,191.74,6,1,S,3,1,183,202.83
Gefallen,favor,748,1.53,1.05,4.65,1.66,2.39,1.03,5.63,1.37,4.8,1.4,3,1.77,360,0,8,3,S,1,1,6.67,6.67
Fieber,fever,750,-1.8,1.01,6.5,1.05,3.7,0.86,3.56,1.76,5.75,1.41,4.05,1.79,289,19.13,6,2,S,2,1,43.5,43.5
Kampf,fight,751,-1.6,1.65,6.8,1.7,4.05,0.74,5.94,1.78,6.98,1.03,5.48,1.26,5967,108.08,5,1,S,1,0,5.5,5.5
Finger,finger,752,0.7,0.8,4,2.1,2.11,1.15,6.5,1.4,4.65,1.63,5.91,1.38,1105,84.1,6,2,S,3,0,1.17,1.5
Fahne,flag,753,-0.2,0.95,3.95,1.76,2,0.92,5.81,1.2,4.48,1.4,5.55,1.41,427,6.18,5,2,S,1,0,5.5,5.5
Flirt,flirt,754,1.7,0.67,6.63,1.21,4.37,0.68,6.63,1.09,4.98,1.94,5.52,1.5,47,1.42,5,2,A,1,0,0.67,0.67
Flut,flood,755,-0.8,0.92,6.3,1.75,3.62,0.8,3.38,2.12,6.63,1.44,6.22,0.83,669,6.14,4,1,S,5,3,43.17,135.5
Schaum,foam,756,0.4,0.91,4.2,1.74,2.31,1.09,6.19,1.9,3.48,1.45,5.65,1.69,82,2.44,6,1,S,1,0,0.83,0.83
Fuß,foot,757,0.13,0.92,3.4,1.79,2.23,0.95,6.38,1.45,4.7,1.38,6.6,1.14,2291,65.95,3,1,S,6,0,13.33,32.83
eiskalt,frigid,758,-1.25,1.24,6.05,1.85,3.08,0.98,4,1.62,6,1.58,3.8,1.94,123,7.01,7,2,A,0,0,0,0
Spaß,fun,759,2.53,0.83,5.7,2,4.33,0.9,6.5,1.35,5.9,1.72,4.07,2.28,2727,219.26,4,1,S,2,0,1.83,2.83
Spiel,game,760,1.4,0.97,5.55,1.15,2.39,0.85,6.81,1.44,4.83,1.47,4.56,1.13,10461,221.39,5,1,S,4,0,5.33,8.33
Garten,garden,761,1.8,0.7,2.85,1.79,1.61,0.61,6.69,1.04,4.45,1.55,5.82,1.22,1691,29.29,6,2,S,4,1,164.83,164.83
Kleidungsstück,garment,762,0.69,1.01,3.55,1.47,2.19,0.94,6.13,1.89,4.8,1.64,5.6,1.43,55,0.79,14,3,S,0,0,0,0
Geschlecht,gender,763,0.19,0.75,4.7,1.26,2.73,1.04,4.88,1.28,5.78,1.35,3.75,2.15,324,7.01,10,2,S,0,0,0,0
Keime,germs,764,-1.27,1.67,5.95,1.7,2.92,1.09,4,1.52,5.3,1.77,3.65,1.57,89,1.34,5,2,S,0,0,0,0
Glas,glass,765,0.64,0.95,3.8,1.91,1.77,0.81,6.13,1.26,4.15,1.63,5.55,1.53,1230,51.1,4,1,S,1,0,23.5,23.5
gut,good,766,1.47,1.06,4.75,1.86,2.04,0.92,6.06,1.18,5.3,1.87,2.65,1.73,25283,2839.84,3,1,A,4,0,42.17,90.17
Klatsch,gossip,767,-0.5,1.26,5.45,1.54,2.92,1.06,5.88,1.79,4.95,1.47,3.25,1.89,62,3.7,7,1,S,1,0,0,0
Gras,grass,768,0.77,1.27,3.3,1.3,1.59,0.8,5.25,2.01,4.65,1.41,5.82,1.05,265,31.14,4,5,S,10,5,127.67,366.5
Geiz,greed,769,-1.6,0.97,5.9,1.62,3.61,0.92,4.81,1.37,6.08,1.44,2.89,1.45,46,0.35,4,1,S,3,1,13.17,13.83
grüßen,greet,770,1.2,0.91,4.5,1.54,2.04,0.88,6.44,1.28,5.77,1.19,4.76,1.71,185,11.14,6,2,V,1,1,18.5,18.5
Granate,grenade,771,-2.5,0.71,7.5,1.54,4.06,1.18,4.13,2.27,6.55,1.54,5.89,1.54,99,5.28,7,3,S,0,0,0,0
Grinsen,grin,773,1.76,1.01,5.4,1.79,2.88,1.17,6.44,1.47,5.45,1.81,5.45,1.57,19,4.53,7,2,S,0,0,0,0
Beschwerde,gripe,774,-1.4,1.06,6.7,1.17,3.27,0.96,4.94,1.56,6,1.76,2.85,1.27,534,3.7,10,3,S,0,0,0,0
Gewohnheit,habit,775,0.07,0.7,3.3,1.81,2,1.06,5,2.21,4.88,1.8,2.5,1.36,144,4.88,10,3,S,0,0,0,0
Haarnadel,hairpin,776,0.21,0.43,3.7,1.66,2.38,1.06,6.25,1.73,3.55,1.5,6.05,1.32,4,0.91,9,3,S,0,0,0,0
Hamburger,hamburger,777,0.33,1.11,4.3,1.56,2.42,1.06,5.63,1.22,4.33,1.73,6.25,0.97,8174,7.05,9,3,S,0,0,0,0
Hand,hand,778,1.21,1.12,3.15,1.46,1.78,0.73,5.69,1.67,5.03,1.56,6.88,0.33,7856,232.65,4,1,S,10,1,843.83,1262.17
Nachteil,handicap,779,-1.3,0.95,5.05,1.64,3.17,0.99,4.88,1.59,5.52,1.69,2,1.22,629,3.11,8,2,S,0,0,0,0
zufällig,haphazard,780,0.2,0.77,4.5,1.61,2.54,1.07,3.75,1.7,4.28,1.4,2,1.34,928,45.91,8,3,A,0,0,0,0
hart,hard,781,-0.4,1.06,5.9,1.52,2.77,1.18,5.19,1.15,6.03,1.48,3.65,1.98,2177,112.92,4,1,A,13,0,49,172
Bedrängnisse,hardship,782,-1.53,0.64,6.95,1.05,3.88,0.95,3.69,1.46,6.3,1.22,3.05,1.67,3,0,12,4,S,0,0,0,0
Hut,hat,783,0,0.38,3.5,1.7,2.12,0.99,6.19,1.81,4.03,1.7,6.5,1,812,45.91,3,1,S,4,2,1375.33,1435
Heu,hay,784,0.47,0.83,3.25,1.74,2.19,1.1,5.94,1.39,3.75,1.5,6.3,0.92,102,2.8,3,1,S,4,3,1356.67,1656.83
Scheinwerfer,headlight,785,0,1.48,5.05,1.05,3.45,1.04,5.19,1.53,5.36,1.12,6.35,0.88,92,3.74,12,3,S,0,0,0,0
heilen,heal,786,2,0.76,4.4,1.67,2.46,1.07,5.25,2.15,5.43,1.72,3.5,1.43,247,23.82,6,2,V,11,3,510.17,659.33
Herz,heart,787,2.3,1.06,5,2.2,3.28,1.36,5.19,1.49,5.95,1.91,6.44,0.88,2142,175.48,4,1,S,5,1,692,733.83
Hölle,hell,788,-1.93,1.39,6.45,1.79,4.11,0.92,4.13,2.28,6.75,1.61,5.46,1.86,508,145.4,5,2,S,4,1,37.17,56.17
Heroin,heroin,789,-2,1.41,7.26,1.52,4,0.89,4.88,2.95,7.03,1.19,4.5,1.82,389,12.21,6,3,S,2,2,14.83,17.67
erschweren,hinder,790,-1.14,0.58,5.95,1.32,3.45,0.72,4.75,1.47,5.38,1.33,2.81,1.54,248,0.94,10,3,V,0,0,0,0
Ferien,holiday,791,2.6,0.52,3.5,2.26,2.29,1.21,6.44,1.9,5.08,1.53,4.44,1.74,648,12.17,6,3,S,0,0,0,0
Honig,honey,792,1.8,0.77,3.3,1.72,1.56,0.81,4.75,2.26,4,1.66,5.68,1.39,165,6.81,5,2,S,1,0,0,0
Nutte,hooker,793,-0.84,1.08,6.3,2.03,3.83,0.93,5.25,1.82,4.83,1.7,6.09,1.09,25,16.46,5,2,S,2,1,1.17,1.17
Hoffnung,hope,794,2.2,1.14,4.75,2.31,2.61,1.33,6.75,1.69,6.05,2.19,2,1.22,4096,63.27,8,2,S,0,0,0,0
Hotel,hotel,795,1.15,0.99,4,1.59,2.5,1.1,5,1.41,4.68,1.61,5.55,1.18,2991,78.94,5,2,S,2,0,1.67,3
